,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Astroloma conostephioides,,,0.0,-,,LMH,SN,M,0,0,,Astroloma pinifolium
1,Astroloma humifusum,Cranberry Heath,Shrub,0.1,7-10,,LMH,N,DM,3,0,,Astroloma pinifolium
