,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Penstemon acuminatus,"Sand-Dune Penstemon, Sharpleaf penstemon",Perennial,0.6,4-8,,LMH,N,DM,0,1,,Penstemon grandiflorus
1,Penstemon confertus,Yellow Penstemon,Perennial,0.6,3-7,,LMH,N,DM,1,1,2.0,Penstemon grandiflorus
